"id","code","name","user_type_id","reconcile"
"l10n_bd.1_0010","001000","Software","Fixed Assets",""
"l10n_bd.1_0011","001100","Software Depreciation","Fixed Assets",""
"l10n_bd.1_0020","002000","Patents & Trademarks","Fixed Assets",""
"l10n_bd.1_0021","002100","Patents & Trademarks Depreciation","Fixed Assets",""
"l10n_bd.1_0030","003000","Fixtures and fittings","Fixed Assets",""
"l10n_bd.1_0031","003100","Fixtures and fittings Depreciation","Fixed Assets",""
"l10n_bd.1_0040","004000","Land and buildings","Fixed Assets",""
"l10n_bd.1_0041","004100","Land and buildings Depreciation","Fixed Assets",""
"l10n_bd.1_0050","005000","Motor vehicles","Fixed Assets",""
"l10n_bd.1_0051","005100","Motor vehicles Depreciation","Fixed Assets",""
"l10n_bd.1_0060","006000","Office equipment (inc computer equipment)","Fixed Assets",""
"l10n_bd.1_0061","006100","Office equipment (inc computer equipment) Depreciation","Fixed Assets",""
"l10n_bd.1_0070","007000","Plant and machinery","Fixed Assets",""
"l10n_bd.1_0071","007100","Plant and machinery Depreciation","Fixed Assets",""
"l10n_bd.1_1001","100100","Stock","Current Assets","True"
"l10n_bd.10012","10012","Stock Interim account (Received)","Current Assets","TRUE",""
"l10n_bd.10013","10013","Stock Interim Account (Delivered)","Current Assets","TRUE",""
"l10n_bd.1_1002","100200","Work in Progress","Current Assets",""
"l10n_bd.1_1003","100300","Finished Goods","Current Assets",""
"l10n_bd.1_1100","110000","Debtors Control Account","Receivable","True"
"l10n_bd.1_1101","110100","Sundry Debtors","Receivable","True"
"l10n_bd.1_1102","110200","Other Debtors","Current Assets",""
"l10n_bd.1_1103","110300","Prepayments","Current Assets",""
"l10n_bd.1_1104","110400","Debtors Control Account (PoS)","Receivable","True"
"l10n_bd_103","120001","Bank","Bank and Cash",""
"l10n_bd.1_l10n_bd_liquidity_transfer","122001","Liquidity Transfer","Current Assets","True"
"l10n_bd.1_1240","124000","Company Credit Card","Current Assets","True"
"l10n_bd.1_2100","210000","Creditors Control Account","Payable","True"
"l10n_bd.1_2101","210100","Sundry Creditors","Current Liabilities",""
"l10n_bd.1_2102","210200","Other Creditors","Current Liabilities",""
"l10n_bd.1_2109","210900","Accruals","Current Liabilities",""
"l10n_bd.1_2150","215000","Bad debt provision","Current Liabilities",""
"l10n_bd.1_2200","220000","Sales Tax Control Account","Current Liabilities",""
"l10n_bd.1_2201","220100","Purchase Tax Control Account","Current Assets",""
"l10n_bd.1_2202","220200","HMRC - VAT Account","Payable","True"
"l10n_bd.1_2204","220400","Manual Adjustments ï¾– VAT","Current Liabilities",""
"l10n_bd.1_2210","221000","P.A.Y.E. & NI","Payable","True"
"l10n_bd.1_2220","222000","Net Wages","Payable","True"
"l10n_bd.1_2230","223000","Pension Fund","Payable","True"
"l10n_bd.1_2300","230000","Loans","Current Liabilities",""
"l10n_bd.1_2310","231000","Hire Purchase","Current Liabilities",""
"l10n_bd.1_2320","232000","Corporation Tax","Payable","True"
"l10n_bd.1_2330","233000","Mortgages","Current Liabilities",""
"l10n_bd.1_3000","300000","Called up share capital","Equity",""
"l10n_bd.1_3010","301000","Share premium account","Equity",""
"l10n_bd.1_3020","302000","Revaluation reserve","Equity",""
"l10n_bd.1_3030","303000","Other reserves","Equity",""
"l10n_bd.1_4000","400000","Sales category 1","Income",""
"l10n_bd.1_4001","400100","Sales category 2","Income",""
"l10n_bd.1_4002","400200","Sales category 3","Income",""
"l10n_bd.1_4003","400300","Sales category 4","Income",""
"l10n_bd.1_4900","490000","Bank Interest received","Income",""
"l10n_bd.1_4910","491000","Investment Interest received","Income",""
"l10n_bd.1_5000","500000","Cost of sales 1","Expenses",""
"l10n_bd.1_5001","500100","Cost of sales 2","Expenses",""
"l10n_bd.1_5002","500200","Cost of sales 3","Expenses",""
"l10n_bd.1_5003","500300","Cost of sales 4","Expenses",""
"l10n_bd.1_6000","600000","Marketing, POS","Expenses",""
"l10n_bd.1_6001","600100","Exhibitions and events","Expenses",""
"l10n_bd.1_6002","600200","PR","Expenses",""
"l10n_bd.1_6010","601000","Distribution vehicles","Expenses",""
"l10n_bd.1_6020","602000","Distribution salaries and wages","Expenses",""
"l10n_bd.1_6030","603000","Shipping","Expenses",""
"l10n_bd.1_7000","700000","Directors pension","Expenses",""
"l10n_bd.1_7001","700100","Directors remuneration","Expenses",""
"l10n_bd.1_7010","701000","Admin gross salaries","Expenses",""
"l10n_bd.1_7011","701100","Management gross salaries","Expenses",""
"l10n_bd.1_7012","701200","Employers NIC","Expenses",""
"l10n_bd.1_7020","702000","Subcontractors payments","Expenses",""
"l10n_bd.1_7100","710000","Rent and rates","Expenses",""
"l10n_bd.1_7110","711000","Light, heat and power","Expenses",""
"l10n_bd.1_7120","712000","Repairs, renewals and maintenance","Expenses",""
"l10n_bd.1_7300","730000","Car hire","Expenses",""
"l10n_bd.1_7301","730100","Car fuel","Expenses",""
"l10n_bd.1_7302","730200","Car maintenance","Expenses",""
"l10n_bd.1_7502","750200","Telephone","Expenses",""
"l10n_bd.1_7503","750300","Internet & hosting","Expenses",""
"l10n_bd.1_7504","750400","Mobiles","Expenses",""
"l10n_bd.1_7505","750500","Stationery","Expenses",""
"l10n_bd.1_7506","750600","Office consumables","Expenses",""
"l10n_bd.1_7507","750700","Postage and Carriage","Expenses",""
"l10n_bd.1_7508","750800","Books","Expenses",""
"l10n_bd.1_7509","750900","Network costs","Expenses",""
"l10n_bd.1_7510","751000","Software expenses","Expenses",""
"l10n_bd.1_7511","751100","Other computer costs","Expenses",""
"l10n_bd.1_7512","751200","Recruitment fees","Expenses",""
"l10n_bd.1_7513","751300","Other admin expenses","Expenses",""
"l10n_bd.1_7601","760100","Accounting","Expenses",""
"l10n_bd.1_7602","760200","Auditing","Expenses",""
"l10n_bd.1_7610","761000","Consultancy","Expenses",""
"l10n_bd.1_7620","762000","Legal and professional charges","Expenses",""
"l10n_bd.1_7700","770000","Exchange gains/losses","Expenses",""
"l10n_bd.1_7710","771000","Other sundry expenses","Expenses",""
"l10n_bd.1_7850","785000","Bad debts","Expenses",""
"l10n_bd.1_7900","790000","Interest paid","Expenses",""
"l10n_bd.1_7910","791000","Bank, credit card and other financial charges","Expenses",""
"l10n_bd.1_8000","800000","Intangible assets depn","Expenses",""
"l10n_bd.1_8001","800100","Tangible assets depn","Expenses",""
"l10n_bd.1_8200","820000","Donations","Expenses",""
"l10n_bd.1_8300","830000","Entertaining","Expenses",""
"l10n_bd.1_8400","840000","Insurance","Expenses",""
"l10n_bd.1_8500","850000","Travel and subsistence","Expenses",""
"l10n_bd.1_8800","880000","Corporation tax expense","Expenses",""
"l10n_bd.1_9000","900000","Profits/Losses on disposals of assets","Income",""
"__export__.account_account_104_1843a729","999999","Undistributed Profits/Losses","Current Year Earnings",""
